 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/SRIM files/1H_Butane_140Torr.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  4.4510E-04 g/cm3 = 6.4564E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = -0.91%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.385E-02  4.867E-04  383.12 um    73.37 um    81.06 um  
  11.00 keV   3.531E-02  4.540E-04  410.15 um    75.08 um    83.90 um  
  12.00 keV   3.668E-02  4.258E-04  436.28 um    76.62 um    86.51 um  
  13.00 keV   3.795E-02  4.012E-04  461.62 um    78.01 um    88.92 um  
  14.00 keV   3.916E-02  3.797E-04  486.24 um    79.27 um    91.15 um  
  15.00 keV   4.029E-02  3.605E-04  510.24 um    80.43 um    93.23 um  
  16.00 keV   4.135E-02  3.434E-04  533.66 um    81.49 um    95.18 um  
  17.00 keV   4.236E-02  3.279E-04  556.57 um    82.48 um    97.02 um  
  18.00 keV   4.331E-02  3.140E-04  579.01 um    83.40 um    98.76 um  
  20.00 keV   4.505E-02  2.896E-04  622.67 um    85.18 um   101.97 um  
  22.50 keV   4.698E-02  2.645E-04  675.28 um    87.19 um   105.57 um  
  25.00 keV   4.867E-02  2.437E-04  726.08 um    88.96 um   108.83 um  
  27.50 keV   5.014E-02  2.262E-04  775.41 um    90.54 um   111.79 um  
  30.00 keV   5.142E-02  2.113E-04  823.51 um    91.98 um   114.52 um  
  32.50 keV   5.254E-02  1.984E-04  870.59 um    93.30 um   117.06 um  
  35.00 keV   5.352E-02  1.870E-04  916.82 um    94.52 um   119.44 um  
