 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 14, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/actar_triumf/SRIM files/1H_Butane_180mbar.txt

 Ion = Hydrogen [1] , Mass = 1.008 amu

 Target Density =  4.2930E-04 g/cm3 = 6.2272E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.418E-02  4.695E-04  382.92 um    72.21 um    79.89 um  
  11.00 keV   3.565E-02  4.379E-04  409.77 um    73.86 um    82.66 um  
  12.00 keV   3.703E-02  4.107E-04  435.71 um    75.35 um    85.19 um  
  13.00 keV   3.832E-02  3.870E-04  460.86 um    76.69 um    87.52 um  
  14.00 keV   3.953E-02  3.662E-04  485.30 um    77.90 um    89.68 um  
  15.00 keV   4.067E-02  3.477E-04  509.11 um    79.02 um    91.70 um  
  16.00 keV   4.175E-02  3.312E-04  532.36 um    80.05 um    93.59 um  
  17.00 keV   4.276E-02  3.163E-04  555.09 um    81.00 um    95.37 um  
  18.00 keV   4.372E-02  3.028E-04  577.35 um    81.89 um    97.05 um  
  20.00 keV   4.548E-02  2.794E-04  620.66 um    83.61 um   100.16 um  
  22.50 keV   4.743E-02  2.551E-04  672.84 um    85.55 um   103.65 um  
  25.00 keV   4.913E-02  2.351E-04  723.22 um    87.27 um   106.80 um  
  27.50 keV   5.061E-02  2.182E-04  772.13 um    88.80 um   109.66 um  
  30.00 keV   5.191E-02  2.038E-04  819.82 um    90.19 um   112.31 um  
  32.50 keV   5.304E-02  1.913E-04  866.50 um    91.47 um   114.76 um  
  35.00 keV   5.403E-02  1.804E-04  912.32 um    92.65 um   117.06 um  
