 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/SRIM files/20Mg_Butane_140Torr.txt

 Ion = Magnesium [12] , Mass = 20.01886 amu

 Target Density =  4.4510E-04 g/cm3 = 6.4564E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.278E-02  1.303E-01   61.63 um    17.72 um    13.45 um  
  11.00 keV   3.438E-02  1.293E-01   66.96 um    19.03 um    14.43 um  
  12.00 keV   3.591E-02  1.282E-01   72.29 um    20.32 um    15.39 um  
  13.00 keV   3.738E-02  1.270E-01   77.63 um    21.59 um    16.34 um  
  14.00 keV   3.879E-02  1.258E-01   82.97 um    22.85 um    17.28 um  
  15.00 keV   4.015E-02  1.245E-01   88.32 um    24.09 um    18.21 um  
  16.00 keV   4.147E-02  1.233E-01   93.68 um    25.32 um    19.13 um  
  17.00 keV   4.274E-02  1.220E-01   99.05 um    26.54 um    20.05 um  
  18.00 keV   4.398E-02  1.208E-01  104.43 um    27.75 um    20.96 um  
  20.00 keV   4.636E-02  1.183E-01  115.24 um    30.15 um    22.77 um  
  22.50 keV   4.917E-02  1.153E-01  128.81 um    33.09 um    25.02 um  
  25.00 keV   5.183E-02  1.123E-01  142.45 um    35.97 um    27.24 um  
  27.50 keV   5.436E-02  1.096E-01  156.16 um    38.79 um    29.44 um  
  30.00 keV   5.678E-02  1.069E-01  169.93 um    41.55 um    31.63 um  
  32.50 keV   5.910E-02  1.044E-01  183.76 um    44.27 um    33.80 um  
  35.00 keV   6.133E-02  1.020E-01  197.65 um    46.93 um    35.96 um  
