 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 14, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/actar_triumf/SRIM files/20Mg_Butane_160mbar.txt

 Ion = Magnesium [12] , Mass = 20.01886 amu

 Target Density =  3.8160E-04 g/cm3 = 5.5353E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   2.811E-02  1.117E-01   71.89 um    20.67 um    15.69 um  
  11.00 keV   2.948E-02  1.108E-01   78.10 um    22.19 um    16.83 um  
  12.00 keV   3.079E-02  1.099E-01   84.32 um    23.70 um    17.95 um  
  13.00 keV   3.205E-02  1.089E-01   90.54 um    25.18 um    19.06 um  
  14.00 keV   3.326E-02  1.078E-01   96.77 um    26.65 um    20.15 um  
  15.00 keV   3.442E-02  1.068E-01  103.02 um    28.10 um    21.24 um  
  16.00 keV   3.555E-02  1.057E-01  109.27 um    29.54 um    22.32 um  
  17.00 keV   3.665E-02  1.046E-01  115.53 um    30.96 um    23.39 um  
  18.00 keV   3.771E-02  1.035E-01  121.81 um    32.37 um    24.45 um  
  20.00 keV   3.975E-02  1.014E-01  134.41 um    35.16 um    26.56 um  
  22.50 keV   4.216E-02  9.881E-02  150.24 um    38.59 um    29.18 um  
  25.00 keV   4.444E-02  9.632E-02  166.15 um    41.95 um    31.77 um  
  27.50 keV   4.661E-02  9.394E-02  182.14 um    45.24 um    34.34 um  
  30.00 keV   4.868E-02  9.167E-02  198.21 um    48.47 um    36.89 um  
  32.50 keV   5.067E-02  8.950E-02  214.34 um    51.63 um    39.42 um  
  35.00 keV   5.258E-02  8.745E-02  230.54 um    54.74 um    41.94 um  
