 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 14, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/actar_triumf/SRIM files/20Mg_Butane_180Torr.txt

 Ion = Magnesium [12] , Mass = 20.01886 amu

 Target Density =  4.2930E-04 g/cm3 = 6.2272E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.162E-02  1.257E-01   63.90 um    18.37 um    13.95 um  
  11.00 keV   3.316E-02  1.247E-01   69.42 um    19.73 um    14.96 um  
  12.00 keV   3.464E-02  1.236E-01   74.95 um    21.06 um    15.95 um  
  13.00 keV   3.605E-02  1.225E-01   80.48 um    22.38 um    16.94 um  
  14.00 keV   3.741E-02  1.213E-01   86.02 um    23.69 um    17.91 um  
  15.00 keV   3.873E-02  1.201E-01   91.57 um    24.98 um    18.88 um  
  16.00 keV   4.000E-02  1.189E-01   97.13 um    26.26 um    19.84 um  
  17.00 keV   4.123E-02  1.177E-01  102.70 um    27.52 um    20.79 um  
  18.00 keV   4.242E-02  1.165E-01  108.28 um    28.77 um    21.73 um  
  20.00 keV   4.472E-02  1.141E-01  119.48 um    31.26 um    23.61 um  
  22.50 keV   4.743E-02  1.112E-01  133.55 um    34.31 um    25.94 um  
  25.00 keV   4.999E-02  1.084E-01  147.69 um    37.29 um    28.24 um  
  27.50 keV   5.243E-02  1.057E-01  161.91 um    40.21 um    30.52 um  
  30.00 keV   5.476E-02  1.031E-01  176.19 um    43.08 um    32.79 um  
  32.50 keV   5.700E-02  1.007E-01  190.53 um    45.89 um    35.04 um  
  35.00 keV   5.915E-02  9.838E-02  204.92 um    48.65 um    37.28 um  
