 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 12, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/SRIM files/20Na_Butane_140Torr.txt

 Ion = Sodium [11] , Mass = 20.00735 amu

 Target Density =  4.4510E-04 g/cm3 = 6.4564E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.731E-02  1.198E-01   64.24 um    18.05 um    13.76 um  
  11.00 keV   3.913E-02  1.187E-01   69.81 um    19.37 um    14.75 um  
  12.00 keV   4.087E-02  1.175E-01   75.37 um    20.67 um    15.73 um  
  13.00 keV   4.254E-02  1.162E-01   80.93 um    21.95 um    16.70 um  
  14.00 keV   4.415E-02  1.149E-01   86.49 um    23.21 um    17.65 um  
  15.00 keV   4.570E-02  1.137E-01   92.06 um    24.45 um    18.60 um  
  16.00 keV   4.720E-02  1.124E-01   97.63 um    25.68 um    19.54 um  
  17.00 keV   4.865E-02  1.111E-01  103.21 um    26.89 um    20.47 um  
  18.00 keV   5.006E-02  1.098E-01  108.79 um    28.09 um    21.39 um  
  20.00 keV   5.277E-02  1.073E-01  119.98 um    30.46 um    23.22 um  
  22.50 keV   5.597E-02  1.043E-01  134.01 um    33.36 um    25.48 um  
  25.00 keV   5.900E-02  1.015E-01  148.08 um    36.17 um    27.71 um  
  27.50 keV   6.187E-02  9.879E-02  162.18 um    38.92 um    29.92 um  
  30.00 keV   6.463E-02  9.624E-02  176.30 um    41.59 um    32.10 um  
  32.50 keV   6.726E-02  9.382E-02  190.45 um    44.20 um    34.26 um  
  35.00 keV   6.980E-02  9.154E-02  204.62 um    46.75 um    36.41 um  
