 ==================================================================
              SRIM version ---> SRIM-2013.00
              Calc. date   ---> February 14, 2025 
 ==================================================================

 Disk File Name = /media/data/Simulations/20Mg(p,p)/actar_triumf/SRIM files/20Na_Butane_160mbar.txt

 Ion = Sodium [11] , Mass = 20.00735 amu

 Target Density =  3.8160E-04 g/cm3 = 5.5353E+19 atoms/cm3
 Target is a GAS 
 ======= Target  Composition ========
    Atom   Atom   Atomic    Mass     
    Name   Numb   Percent   Percent  
    ----   ----   -------   -------  
      H      1    071.43    017.34   
      C      6    028.57    082.66   
 ====================================
 Bragg Correction = 3.72%
 Stopping Units =  MeV / mm       
 See bottom of Table for other Stopping units 

        Ion        dE/dx      dE/dx     Projected  Longitudinal   Lateral
       Energy      Elec.      Nuclear     Range     Straggling   Straggling
  --------------  ---------- ---------- ----------  ----------  ----------
  10.00 keV   3.199E-02  1.027E-01   74.93 um    21.05 um    16.05 um  
  11.00 keV   3.355E-02  1.018E-01   81.42 um    22.59 um    17.20 um  
  12.00 keV   3.504E-02  1.007E-01   87.91 um    24.11 um    18.35 um  
  13.00 keV   3.647E-02  9.964E-02   94.39 um    25.60 um    19.47 um  
  14.00 keV   3.785E-02  9.855E-02  100.88 um    27.07 um    20.59 um  
  15.00 keV   3.918E-02  9.744E-02  107.38 um    28.52 um    21.69 um  
  16.00 keV   4.046E-02  9.634E-02  113.88 um    29.95 um    22.79 um  
  17.00 keV   4.171E-02  9.524E-02  120.38 um    31.37 um    23.87 um  
  18.00 keV   4.292E-02  9.415E-02  126.90 um    32.77 um    24.95 um  
  20.00 keV   4.524E-02  9.202E-02  139.95 um    35.53 um    27.09 um  
  22.50 keV   4.798E-02  8.946E-02  156.31 um    38.91 um    29.72 um  
  25.00 keV   5.058E-02  8.701E-02  172.72 um    42.19 um    32.32 um  
  27.50 keV   5.305E-02  8.470E-02  189.16 um    45.39 um    34.90 um  
  30.00 keV   5.541E-02  8.251E-02  205.64 um    48.52 um    37.44 um  
  32.50 keV   5.767E-02  8.044E-02  222.14 um    51.56 um    39.97 um  
  35.00 keV   5.984E-02  7.848E-02  238.67 um    54.53 um    42.46 um  
